raw number,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
treatment,low,control,high,low,control,high,low,control,high,control,high,low,high,low,control,low,high,control,low,high,control,high
apple strain,pink,pink,gala,gold,gold,smith,smith,smith,gala,pink,pink,gala,gold,gold,smith,smith,smith,gala,pink,pink,gala,gold
